,Year,#,Miles,Feet of Climb,Riders,Starting Town,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Ending Town
0,1973,I,412,"12,637",130,Sioux City,Storm Lake,Fort Dodge,Ames,Des Moines,Williamsburg,Davenport,''
1,1974,II,422,"12,648","2,000",Council Bluffs,Atlantic,Guthrie Center,Camp Dodge,Marshalltown,Waterloo,Monticello,Dubuque
2,1975,III,450,"12,573","3,000",Hawarden,Cherokee,Lake View,Boone,Newton,Sigourney,Mt. Pleasant,Fort Madison
3,1976,IV,430,"13,737","4,000",Sidney,Red Oak,Harlan,Jefferson,Nevada,Grinnell,Iowa City,Muscatine
4,1977,V,400,"8,479","6,000",Onawa,Ida Grove,Laurens,Algona,Clear Lake,New Hampton,Decorah,Lansing
5,1978,VI,440,"11,238","6,000",Sioux City,Storm Lake,Humboldt,Iowa Falls,Vinton,Mt. Vernon,Maquoketa,Clinton
6,1979,VII,480,"11,836","6,000",Rock Rapids,Spencer,Rockwell City,Story City,Tama,Fairfield,Wapello,Burlington
7,1980,VIII,468,"11,912","6,000",Glenwood,Atlantic,Carroll,Perry,Webster City,Waverly,Elkader,Guttenberg
8,1981,IX,490,"14,372","6,000",Missouri Valley,Mapleton,Lake City,Greenfield,Leon,Centerville,Keosauqua,Keokuk
9,1982,X,523,"10,935","6,000",Akron,Cherokee,Estherville,Forest City,Charles City,Independence,Tipton,Davenport
10,1983,XI,492,"13,010","6,000",Onawa,Harlan,Guthrie,Ames,Clarion,Grundy Center,Manchester,Dubuque
11,1984,XII,474,"11,221","8,000",Glenwood,Shenandoah,Creston,Adel,Pella,Ottumwa,Mt. Pleasant,Burlington
12,1985,XIII,540,"10,741","10,000",Hawarden,Sibley,Emmetsburg,Humboldt,Mason City,Waterloo,Monticello,Clinton
13,1986,XIV,479,"12,861","8,000",Council Bluffs,Red Oak,Audubon,Perry,Eldora,Belle Plaine,Washington,Muscatine
14,1987,XV,437,"10,165","8,000",Onawa,Denison,Storm Lake,Fort Dodge,Forest City,Osage,West Union,Guttenberg
15,1988,XVI,433,"11,609","8,000",Sioux City,Ida Grove,Carroll,Boone,Des Moines,Oskaloosa,Fairfield,Fort Madison
16,1989,XVII,479,"13,357","8,000",Glenwood,Clarinda,Atlantic,Jefferson,Story City,Cedar Falls,Dyersville,Bellevue
17,1990,XVIII,495,"9,064","8,000",Sioux Center,Spencer,Algona,Hampton,Oelwein,Cedar Rapids,Washington,Burlington
18,1991,XIX,432,"14,990","8,000",Missouri Valley,Atlantic,Winterset,Knoxville,Grinnell,Amana,Anamosa,Bellevue
19,1992,XX,494,"13,455","8,000",Glenwood,Shenandoah,Bedford,Osceola,Des Moines,Oskaloosa,Mt. Pleasant,Keokuk
20,1993,XXI,525,"11,047","8,000",Sioux City,Sheldon,Emmetsburg,Clarion,Osage,Decorah,Manchester,Dubuque
21,1994,XXII,511,"12,420","8,000",Council Bluffs,Harlan,Carroll,Perry,Marshalltown,Marion,Maquoketa,Clinton
22,1995,XXIII,493,"10,674","8,000",Onawa,Lake View,Fort Dodge,Iowa Falls,Tama/Toledo,Sigourney,Coralville,Muscatine
23,1996,XXIV,437,"9,869","8,000",Sioux Center,Sibley,Estherville,Lake Mills,Charles City,Cresco,Fayette,Guttenberg
24,1997,XXV,464,"14,523","10,000",Missouri Valley,Red Oak,Creston,Des Moines,Chariton,Bloomfield,Fairfield,Fort Madison
25,1998,XXVI,488,"11,857","10,000",Hawarden,Cherokee,Rockwell City,Boone,Eldora,Cedar Falls,Monticello,Sabula
26,1999,XXVII,487,"13,490","8,500",Rock Rapids,Spencer,Algona,Clear Lake,Waverly,Decorah,Manchester,Bellevue
27,2000,XXVIII,450,"17,612","10,000",Council Bluffs,Harlan,Greenfield,Ankeny,Knoxville,Ottumwa,Washington,Burlington
28,2001,XXIX,506,"17,841","10,000",Sioux City,Storm Lake,Denison,Atlantic,Perry,Grinnell,Coralville,Muscatine
29,2002,XXX,480,"13,712","10,000",Sioux Center,Cherokee,Emmetsburg,Forest City,Charles City,Oelwein,Anamosa,Bellevue
30,2003,XXXI,450,"17,368","10,000",Glenwood,Shenandoah,Bedford,Osceola,Oskaloosa,Bloomfield,Mt. Pleasant,Fort Madison
31,2004,XXXII,490,"12,570","10,000",Onawa,Lake View,Fort Dodge,Iowa Falls,Marshalltown,Hiawatha,Maquoketa,Clinton
32,2005,XXXIII,485,"12,874","10,000",Le Mars,Sheldon,Estherville,Algona,Northwood,Cresco,West Union,Guttenberg
33,2006,XXXIV,444,"16,149","10,000",Sergeant Bluff,Ida Grove,Audubon,Waukee,Newton,Marengo,Coralville,Muscatine
34,2007,XXXV,477,"11,349","10,000",Rock Rapids,Spencer,Humboldt,Hampton,Cedar Falls,Independence,Dyersville,Bellevue
35,2008,XXXVI,471,"16,465","10,000",Missouri Valley,Harlan,Jefferson,Ames,Tama/Toledo,North Liberty,Tipton,Le Claire
36,2009,XXXVII,422,"17,494","10,000",Council Bluffs,Red Oak,Greenfield,Indianola,Chariton,Ottumwa,Mt. Pleasant,Burlington
37,2010,XXXVIII,442,"10,601","10,000",Sioux City,Storm Lake,Algona,Clear Lake,Charles City,Waterloo,Manchester,Dubuque
38,2011,XXXIX,454,"13,447","10,000",Glenwood,Atlantic,Carroll,Boone,Altoona,Grinnell,Coralville,Davenport
39,2012,XL,471,"12,981","10,000",Sioux Center,Cherokee,Lake View,Webster City,Marshalltown,Cedar Rapids,Anamosa,Clinton
40,2013,XLI,407,"10,506","10,000",Council Bluffs,Harlan,Perry,Des Moines,Knoxville,Oskaloosa,Fairfield,Fort Madison
41,2014,XLII,428,"8,057","10,000",Rock Valley,Okoboji,Emmetsburg,Forest City,Mason City,Waverly,Independence,Guttenberg
42,2015,XLIII,462,"12,879","10,000",Sioux City,Storm Lake,Fort Dodge,Eldora,Cedar Falls,Hiawatha,Coralville,Davenport
43,2016,XLIV,420,"16,644","10,000",Glenwood,Shenandoah,Creston,Leon,Centerville,Ottumwa,Washington,Muscatine
44,2017,XLV,411,"10,698","10,000",Orange City,Spencer,Algona,Clear Lake,Charles City,Cresco,Waukon,Lansing
45,2018,XLVI,428,"12,782","10,000",Onawa,Denison,Jefferson,Ames,Newton,Sigourney,Iowa City,Davenport
46,2019,XLVII,427,"15,011","10,000",Council Bluffs,Atlantic,Winterset,Indianola,Centerville,Fairfield,Burlington,Keokuk
47,2021,XLVIII,454,"11,500","10,000",Le Mars,Sac City,Fort Dodge,Iowa Falls,Waterloo,Anamosa,DeWitt,Clinton
48,2022,XLIX,454,"11,954","10,000",Sergeant Bluff,Ida Grove,Pocahontas,Emmetsburg,Mason City,Charles City,West Union,Lansing
